theta_cp,FK,FKS,CLU
0.0,0.9148638598840255,0.07186549915378512,0.01080744611
0.0025,0.9149694872320564,0.07200001634278862,0.0107154010865
0.005,0.9150753085165088,0.0716950714841628,0.0106084608645
0.0075000000000000015,0.9152371417697633,0.07136592892261492,0.0104632383177
0.01,0.9154001095096692,0.07124911009772669,0.0103006401375
0.0125,0.9156296309868788,0.07145725926530558,0.0101082044411
0.015000000000000003,0.9158678257570798,0.07123088216131838,0.00986229608651
0.0175,0.91615139630758,0.07113540956134087,0.00953365429313
0.02,0.9164251631089593,0.07093237602608951,0.00914498725963
0.0225,0.9167343845461652,0.07089468131501166,0.00871843621506
0.025,0.9170239253508449,0.07047295057216928,0.0082593713955
0.027500000000000004,0.9173313747744922,0.07019599863468551,0.00774883146656
0.030000000000000006,0.9175803083617925,0.06966809536464816,0.00724038498444
0.0325,0.9178106359494788,0.06937680051938991,0.0067903854359
0.035,0.9180112084571235,0.06881129019285175,0.00638941323862
0.0375,0.9181983356357545,0.06822670974652764,0.00597837529424
0.04,0.918350737594688,0.06769829313713811,0.00559148692067
0.0425,0.9184214145960118,0.06708442237829733,0.00521843986796
0.045,0.918494413426169,0.06638827745766188,0.00514487621125
0.0475,0.9185469148310295,0.06587655075574704,0.00515146900783
0.05,0.9186066275519982,0.06557476766585793,0.00514327928716
